,OPIS Truckstop ID,Truckstop Name,Address,City,State,Rack ID,Retail Price,Latitude,Longitude
4333,67716,HWY 19 SCALE,"SR-19/I-35, EXIT 66",Gaylord                                 ,MN,425,3.46566666,44.551340,-94.223800
4334,67718,SUNSTOP #622,SR-52 & SR-167,Hartford,AL,715,3.599,31.102250,-85.695840
4335,67720,REFUEL #1046,"I-20, EXIT 116 & US-15",Bishopville,SC,42,3.309,34.218600,-80.247990
4336,67721,J AND D COUNTRYSIDE MARTHON,SR-76 & SR-173,Poplar Grove                            ,IL,520,3.499,42.371190,-88.851550
4337,67723,JET FOOD STORE #80,US-221/SR-135 & SR-206,Douglas                                 ,GA,10,3.45733333,31.514340,-82.870160
4338,67724,LOVES TRAVEL STOP #458,"I-44, EXIT 88",Strafford,MO,416,3.37233333,37.272220,-93.110230
4339,67726,SPEEDWAY #7909,"US-264, EXIT 73",Greenville,NC,205,3.13233333,35.623130,-77.250590
4340,67727,SPEEDWAY #7907,US-264 & SR-33,Greenville,NC,205,2.944,35.653310,-77.369490
4341,67728,SPEEDWAY #7905,SR-43 & SR-118,Vanceboro,NC,205,3.37566666,35.312320,-77.161160
4342,67729,SPEEDWAY #6981,US-301 BYP,Rocky Mount,NC,177,3.43233333,35.972870,-77.804360
4343,67732,Quik Pik,US-275 & SR-9,West Point,NE,470,3.21566666,41.859450,-96.710620
4344,67734,TROTTER TRUCK PLAZA,ST 11,Ord,NE,330,3.299,41.594280,-98.923450
4345,67735,Fast Fuel,US-81/SR-3,Kingfisher,OK,483,3.19066666,35.860820,-97.932670
4346,67736,SPEEDWAY #9855,I-10 EXIT 49,Fabens,TX,640,3.23566666,31.508700,-106.150400
4347,67738,SUPER JACK TRUCK STOP,US-84,Brookhaven,MS,620,3.11566666,31.546470,-90.447370
4348,67739,STRIPES #40819,SR-359,Orange Grove,TX,625,3.06566666,27.943720,-97.945250
4349,67742,STRIPES 7FLEET #42514,"I-20, EXIT 138",Midland,TX,710,3.459,31.973180,-102.069060
4350,67743,STRIPES 7FLEET #42506,US-380 & US-277,Haskell,TX,575,3.539,33.183400,-99.477860
4351,67744,STRIPES #40715,SR-107,La Villa,TX,639,3.169,26.294420,-97.925390
4352,67745,STRIPES #40628,"I-2, EXIT 134 & US-83",Mission,TX,639,3.259,26.200030,-98.319940
4353,67746,STRIPES #40598,I-2/US-83,Mission,TX,639,2.869,26.200030,-98.319940
4354,67747,STRIPES 7FLEET #42424,US-87/US-190,Brady,TX,740,3.599,31.135900,-99.342460
4355,67748,STRIPES 7FLEET #42428,"I-20 EXIT, 115",Odessa,TX,710,3.069,31.827710,-102.355400
4356,67749,STRIPES 7FLEET #42436,I-20 EXIT 134,Midland,TX,612,3.06566666,31.973170,-102.069090
4357,67750,STRIPES #40729,FM-511 & FM-802,Brownsville,TX,598,2.999,25.944660,-97.526490
4358,67753,STRIPES #40892,SR-359 & SR-16,Hebbronville,TX,625,3.28566666,27.304090,-98.678590
4359,67754,Refuel #185,US-220,Stokesdale,NC,65,3.699,36.238880,-79.918830
4360,67755,BLUE WATER #12,"I-526, EXIT 23",Charleston,SC,42,3.23233333,32.876930,-79.928530
4361,67757,KEITH'S SUPERSTORE,"I-59, I-20, EXIT 160",Meridian,MS,705,3.049,32.394720,-88.582740
4362,67758,CLARKS PUMP N SHOP #47,SR-10/SR-9,Vanceburg,KY,312,3.599,38.585300,-83.326840
4363,67762,CEFCO #2008,US-83/US-62 & US-287,Childress,TX,770,2.91566666,34.426530,-100.204720
4364,67763,SHELL,US-72,Mount Pleasant,MS,435,3.399,34.955970,-89.523890
4365,67764,NINNEKAH TRUCK STOP,US-277/US-81 & SR-19,Ninnekah,OK,483,3.229,34.956780,-97.952320
4366,67766,STOP IN Food Store #8143,US-221/US-460 & SR-607,Montvale,VA,185,3.36566666,37.378080,-79.714150
4367,67768,SHELL,US-60 & SR-657,Lewisport,KY,487,3.499,37.923790,-86.895390
4368,67769,PETRO-CANADA,HWY 1,Whitehorse,YT,503,4.00823444,60.703100,-135.074920
4369,67769,PETRO-CANADA,HWY 1,Whitehorse,YT,503,4.01562153,60.703100,-135.074920
4370,67769,PETRO-CANADA,HWY 1,Whitehorse,YT,503,4.01621367,60.703100,-135.074920
4371,67769,PETRO-CANADA,HWY 1,Whitehorse,YT,503,4.00734981,60.703100,-135.074920
4372,67769,PETRO-CANADA,HWY 1,Whitehorse,YT,503,4.00646558,60.703100,-135.074920
4373,67769,PETRO-CANADA,HWY 1,Whitehorse,YT,503,3.92582703,60.703100,-135.074920
4374,67771,DUCK THRU FOOD STORE #26,"I-95, EXIT 154 & SR-308 & SR-11/SR-42",Lewiston Woodville                      ,NC,177,3.399,36.116300,-77.176210
4375,67772,STEVES SHELL,"I-55, EXIT 42",Brookhaven                              ,MS,620,3.199,31.602020,-90.466330
4376,67774,7-ELEVEN #39329,I-278/US-1,Linden,NJ,79,3.37566666,40.634820,-74.235560
